,City,Country,Date,Latitude,Longitude,Temperature,Cloudiness,Humidity,Max Temp.,Wind Speed
0,mataura,NZ,1547524317,-46.19,168.86,67.21,0,66,67.21,8.08
1,hithadhoo,MV,1547524582,-0.6,73.08,82.33,88,100,82.33,4.16
2,ponta do sol,BR,1547524856,-20.63,-46.0,69.37,56,80,69.37,4.27
3,kodiak,US,1547523600,39.95,-94.76,30.11,90,100,32.0,8.05
4,naze,NG,1547525146,5.43,7.07,73.87,0,92,73.87,5.73
5,coquimbo,CL,1547521200,-29.95,-71.34,60.8,0,82,60.8,6.93
6,albany,US,1547521080,42.65,-73.75,17.4,40,64,19.4,2.93
7,ushuaia,AR,1547521200,-54.81,-68.31,51.8,40,81,51.8,4.7
8,longyearbyen,NO,1547520600,78.22,15.63,3.2,20,71,3.2,3.36
9,kholmogory,RU,1547523000,64.23,41.65,19.4,90,100,19.4,6.71
10,jamestown,AU,1547524107,-33.21,138.6,98.53,36,41,98.53,6.62
11,mount isa,AU,1547523000,-20.73,139.49,98.6,40,27,98.6,5.82
12,hilo,US,1547520780,19.71,-155.08,75.92,90,66,75.92,5.82
13,mar del plata,AR,1547524896,-46.43,-67.52,70.63,32,26,70.63,16.02
14,kwekwe,ZW,1547525148,-18.93,29.81,62.26,56,98,62.26,3.04
15,saint-philippe,CA,1547523300,45.36,-73.48,12.51,1,89,17.6,8.19
16,padang,ID,1547525148,-0.92,100.36,76.66,92,100,76.66,3.04
17,cherskiy,RU,1547525107,68.75,161.3,-29.54,24,49,-29.54,4.94
18,tateyama,JP,1547521440,36.66,137.31,53.6,75,40,53.6,20.8
19,yellowknife,CA,1547521200,62.45,-114.38,-18.41,75,68,-18.41,9.17
20,emilio carranza,MX,1547525150,19.97,-96.61,64.33,44,95,64.33,6.4
21,rikitea,PF,1547524279,-23.12,-134.97,80.62,92,97,80.62,10.76
22,lebu,ET,1547521200,8.96,38.73,50.0,0,43,50.0,5.82
23,norman wells,CA,1547521200,65.28,-126.83,-11.21,40,69,-11.21,6.93
24,greensburg,US,1547524380,30.83,-90.67,41.36,90,70,42.08,6.93
25,puro,PH,1547525151,13.13,123.76,80.17,80,81,80.17,8.97
26,dibuluan,PH,1547525151,16.52,121.76,70.99,88,100,70.99,4.38
27,vaini,IN,1547521200,15.34,74.49,68.92,0,45,69.8,5.82
28,nantucket,US,1547523300,41.28,-70.1,24.85,40,68,28.94,11.41
29,butaritari,KI,1547525151,3.07,172.79,83.41,80,100,83.41,14.23
30,nastola,FI,1547524200,60.95,25.93,23.0,90,92,23.0,5.82
31,chenzhou,CN,1547525152,25.81,113.03,41.92,92,100,41.92,6.73
32,nikolskoye,RU,1547523000,59.7,30.79,28.4,90,92,28.4,8.95
33,punta arenas,CL,1547521200,-53.16,-70.91,51.8,75,76,51.8,4.7
34,port alfred,ZA,1547525121,-33.59,26.89,66.49,0,98,66.49,4.38
35,cape town,ZA,1547521200,-33.93,18.42,59.0,0,82,59.0,3.36
36,belyy yar,RU,1547523000,53.6,91.39,-13.01,20,75,-13.01,4.47
37,cockburn town,TC,1547525152,21.46,-71.14,78.46,44,100,78.46,9.86
38,gouyave,GD,1547521200,12.16,-61.73,75.2,20,83,75.2,3.36
39,castro,CL,1547521200,-42.48,-73.76,50.0,20,87,50.0,5.82
40,mehamn,NO,1547525153,71.03,27.85,18.16,44,74,18.16,5.5
41,pimentel,BR,1547525153,-3.7,-45.5,71.44,76,100,71.44,1.81
42,kapaa,US,1547520960,22.08,-159.32,77.2,1,66,78.98,10.29
43,narsaq,GL,1547520600,60.91,-46.05,28.4,80,74,28.4,1.12
44,san policarpo,PH,1547524599,12.18,125.51,80.53,64,89,80.53,15.57
45,lorengau,PG,1547525115,-2.02,147.27,84.49,56,96,84.49,11.88
46,hermanus,ZA,1547524390,-34.42,19.24,48.76,24,95,48.76,2.15
47,ozinki,RU,1547525154,51.2,49.73,20.5,92,90,20.5,12.1
48,bluff,AU,1547524442,-23.58,149.07,93.13,0,40,93.13,11.43
49,salalah,OM,1547520600,17.01,54.1,71.6,20,73,71.6,5.82
50,mecca,SA,1547524816,21.43,39.83,58.03,12,89,58.03,3.04
51,labuhan,ID,1547525101,-2.54,115.51,84.04,64,77,84.04,2.59
52,nizhniy kuranakh,RU,1547525155,58.84,125.49,-20.36,12,56,-20.36,3.49
53,barrow,AR,1547524407,-38.31,-60.23,69.46,88,75,69.46,7.4
54,ribeira grande,PT,1547524396,38.52,-28.7,61.54,88,98,61.54,5.39
55,hualmay,PE,1547525155,-11.1,-77.61,66.49,48,99,66.49,5.06
56,saldanha,PT,1547524561,41.42,-6.55,25.09,56,90,25.09,3.38
57,goumenissa,GR,1547524200,40.95,22.45,42.8,20,41,42.8,19.46
58,husavik,CA,1547524992,50.56,-96.99,10.33,88,86,10.33,9.75
59,yuncheng,CN,1547525155,35.03,111.0,25.63,68,43,25.63,7.4
60,kaitangata,NZ,1547525097,-46.28,169.85,63.52,20,86,63.52,5.61
61,makakilo city,US,1547521020,21.35,-158.09,77.23,1,54,80.06,6.93
62,fortuna,ES,1547523000,38.18,-1.13,41.9,0,70,42.8,3.36
63,slave lake,CA,1547521200,55.28,-114.77,24.8,1,92,24.8,13.87
64,lokosovo,RU,1547525157,61.13,74.84,20.14,80,91,20.14,10.09
65,jalu,LY,1547525157,29.03,21.55,44.26,0,54,44.26,13.11
66,airai,TL,1547525157,-8.93,125.41,79.63,24,90,79.63,1.25
67,rawson,AR,1547525105,-43.3,-65.11,67.66,0,35,67.66,6.06
68,busselton,AU,1547524906,-33.64,115.35,70.9,0,89,70.9,13.0
69,sosnogorsk,RU,1547525158,63.59,53.93,15.91,76,82,15.91,6.4
70,srednekolymsk,RU,1547525123,67.46,153.71,-23.51,56,70,-23.51,3.94
71,linjiang,CN,1547525158,41.81,126.91,6.1,56,67,6.1,7.52
72,lamont,CA,1547521200,53.76,-112.78,32.0,1,86,32.0,8.05
73,aljezur,PT,1547524916,37.31,-8.8,48.76,0,100,48.76,6.17
74,onalaska,US,1547524500,43.88,-91.23,27.93,90,96,32.0,4.7
75,nanortalik,GL,1547525159,60.14,-45.24,29.14,92,97,29.14,12.55
76,bandarbeyla,SO,1547525159,9.49,50.81,75.67,76,100,75.67,15.35
77,bud,NO,1547522400,62.91,6.91,30.78,92,100,32.0,10.29
78,les cayes,HT,1547525160,18.19,-73.75,75.76,68,100,75.76,2.93
79,camacha,PT,1547523000,33.08,-16.33,59.25,20,71,60.8,4.7
80,chuy,UY,1547524867,-33.69,-53.46,70.9,92,98,70.9,7.74
81,lompoc,US,1547523300,34.64,-120.46,51.82,75,87,55.94,3.36
82,deputatskiy,RU,1547525160,69.3,139.9,-35.21,48,63,-35.21,2.48
83,el alto,BO,1547521200,-16.5,-68.19,42.8,75,87,42.8,6.93
84,trelew,AR,1547525161,-43.25,-65.31,67.66,0,35,67.66,6.06
85,aksarayskiy,RU,1547523000,46.79,48.01,32.0,90,96,32.0,15.66
86,souillac,FR,1547523000,45.6,-0.6,38.41,90,93,39.2,2.24
87,new norfolk,AU,1547523000,-42.78,147.06,77.0,0,44,77.0,19.46
88,port elizabeth,US,1547520960,39.31,-74.98,24.67,1,68,28.04,4.7
89,saint-francois,FR,1547523000,46.42,3.91,35.6,0,100,35.6,3.27
90,colombo,LK,1547521800,6.93,79.85,78.8,40,74,78.8,11.41
91,cidreira,BR,1547524734,-30.17,-50.22,75.94,32,95,75.94,2.59
92,zruc nad sazavou,CZ,1547524080,49.74,15.11,30.83,90,92,32.0,13.87
93,smithers,CA,1547523720,54.78,-127.17,28.4,90,100,28.4,3.36
94,poum,MK,1547525165,41.28,20.71,18.52,8,82,18.52,3.27
95,kavaratti,IN,1547525165,10.57,72.64,82.24,0,100,82.24,11.43
